,0
0,-0.18356873237255844
1,-0.006440939520317854
2,-0.05513766797046045
3,-0.07602675598521039
4,-0.041048407738638625
5,-0.03031469759499449
6,-0.16059120664701465
7,-0.0514260236141026
8,-0.18532506565115936
9,0.021792912762921415
10,0.031062211690601416
11,-0.070456872342694
12,0.07196321230251088
13,0.15780497164354287
14,0.024107393837621897
15,-0.013841998304319576
16,0.03216059935476492
17,0.037758775911195204
18,-0.03539881486949449
19,-0.03248447807793077
20,-0.09272694778818123
21,-0.049405364375099715
22,0.08989766575367167
23,-0.07272116243710766
24,-0.10147281023012382
25,-0.12354900251882305
26,0.04174925811245209
27,-0.07754645583941774
28,0.002620298268437134
29,0.08846558172450017
30,-0.02025466311338583
31,0.09192928642104713
32,-0.047395491269704396
33,0.014609449444821994
34,0.04558102374376636
35,0.011798592488421479
36,0.03395601167778353
37,0.018638062762774226
38,-0.056993674882518934
39,-0.004641563258431313
40,0.031973984258184165
41,-0.037560052984111345
42,-0.1817833989309023
43,0.059435825525035464
44,0.02137676713865575
45,-0.11552237401272598
46,-0.08898858684584667
47,-0.14079166583353678
48,0.0297834430105028
49,0.09715395129263232
50,0.009526386441095457
51,0.09437022767258003
52,-0.11030214112682024
53,0.23407791349249613
54,0.14297244641898083
55,0.1375493349039208
56,0.029417447652693465
57,-0.060160477183450474
58,-0.019549465122871826
59,-0.1638648273755113
60,-0.08379193646309432
61,-0.18229199866297907
62,0.09551719961307656
63,0.12091275778186056
